Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
ALCOA;  170; POCOS CALDAS - 138;  5,794;  5,748;  1,796;  1,796
AMAZONAS ENERGIA; 8512; JORG.TEIXEIRA - 138;  7,059;  7,035;  1,061;  1,061
; 8751; LECHUGA - 138;  6,973;  6,939;  1,683;  1,683
; 8523; MANAUS - 69;  7,208;  7,208;  1,307;  1,307
; 8532; MAUA III - 138;  7,098;  7,080;  0,916;  0,916
; 8544; PR.FIGUEIREDO - 13,8;  6,857;  6,809;  1,434;  1,434
; 8451; SILVES - 138;  6,381;  6,283;  4,938;  4,938
CEA; 8271; LARANJAL - 69;  5,907;  5,711;  2,793;  2,793
; 8281; MACAPA - 69;  6,041;  5,826;  0,306;  0,306
CEB-DIS;  221; BRAS. GERAL - 34,5;  6,381;  6,343;  1,960;  1,960
; 3698; BRAS. LESTE - 138;  5,829;  5,697;  1,102;  1,102
;  236; BRAS. SUL - 138;  5,906;  5,788;  2,473;  2,473
;  237; SAMAMBAIA - 138;  5,862;  5,739;  0,668;  0,668
CEEE-D; 1331; ATLANTIDA 2 - 69;  5,525;  5,770;  0,318;  0,318
; 1189; BAGE2 - 69;  4,388;  4,530;  2,916;  2,916
; 9570; CAMAQUA 3 - 69;  5,054;  5,276;  3,064;  3,064
; 1195; CAMAQUA - 69;  5,060;  5,284;  1,800;  1,800
; 1203; CHARQUEADAS - 69;  5,609;  5,890;  0,252;  0,252
; 9241; ELDORADO SUL - 23;  5,412;  5,687;  3,752;  3,752
; 1209; GRAVATAI2 - 69;  5,343;  5,581;  1,943;  1,943
; 1197; GUAIBA 2 - 69;  5,335;  5,598;  2,768;  2,768
; 1232; OSORIO 2 - 69;  4,958;  5,113;  2,413;  2,413
; 9247; JARDIM BOTANICO - 69;  5,766;  6,059;  1,594;  1,594
; 9246; PORTOALEGRE13 - 13,8;  5,809;  6,106;  2,202;  2,202
; 9245; PORTOALEGRE10 - 13,8;  5,782;  6,093;  4,247;  4,247
; 9234; PORTO ALEGRE 1 - 69;  5,430;  5,710;  2,567;  2,567
