Distribuidora;Encargo (R$ano)
;Rede Básica;ONS
CEA;0;      151243,17
CEB-DIS;0;      409132,19
CEEE-D;0;      313480,55
CELESC-DIS;0;     1749457,03
CELPA;0;      205923,41
CELPE;0;      296669,31
CEMIG-D;    35940767,58;     8511332,52
CERON;     9054916,26;      230161,08
COELBA;0;      561424,35
COPEL-DIS;0;     1503120,57
COSERN;     3343723,39;      545309,23
CPFL PAULISTA;0;     4900766,60
CPFL PIRATININGA;0;      152794,38
CPFL SANTA CRUZ;0;      748905,76
EDP ES;0;     1359751,74
EDP SP;0;      279799,85
ELEKTRO;0;     5791313,60
ENEL GOIAS;     2758721,92;     1607055,73
ENEL-RJ;0;      685441,82
ENEL-SP;0;      491540,31
ENERGISA M.G. DO SUL - EMS;0;     1141091,03
ENERGISA MATO GROSSO - EMT;    51678767,58;     2358883,48
ENERGISA MINAS GERAIS - EMG;0;      383071,84
ENERGISA SUL SUDESTE - ESS;0;      874069,24
ENERGISA TOCANTINS - ETO;0;      196676,24
EQUATORIAL PIAUI;      447421,55;      279218,17
LIGHT;0;     6527754,64
RGE SUL;0;      918311,74
