dia;mes;armazenamento_sin;armazenamento_se;armazenamento_s;armazenamento_ne;armazenamento_n;ena_sin;ena_se;ena_s;ena_ne;ena_n;expectativa_ena_7_dias_sin;expectativa_ena_7_dias_se;expectativa_ena_7_dias_s;expectativa_ena_7_dias_ne;expectativa_ena_7_dias_n;carga_sin;carga_se;carga_s;carga_ne;carga_n;pld_medio_se 
17/01/2013;01/01/2013;0.334422757;0.321617029;0.493016617;0.29643842;0.435059929;0.862698679;1.047717646;1.04011065;0.209718402;0.623418566;80761;58488;13742;2850;5681;62412;37085;11852;9499;3976;339.83
18/01/2013;01/01/2013;0.338304263;0.327236681;0.488530941;0.296207023;0.44087755;0.871177685;1.051723393;1.031610281;0.213581267;0.67700165;68806.0269;51930.6595;5981.1851;4572.9825;6321.1998;62731;37387;11806;9522;4016;339.83
19/01/2013;01/01/2013;0.339987178;0.329085055;0.490722806;0.296554118;0.444382141;0.861618697;1.034520137;0.982837676;0.216741792;0.72182596;68806.0269;51930.6595;5981.1851;4572.9825;6321.1998;57987;34962;10087;9001;3937;479.82
20/01/2013;01/01/2013;0.344255441;0.333775552;0.495667244;0.298443857;0.450410037;0.866156918;1.029566601;0.907867214;0.232474184;0.823427729;68806.0269;51930.6595;5981.1851;4572.9825;6321.1998;51121;30728;8496;8147;3750;479.82
21/01/2013;01/01/2013;0.347248451;0.337248706;0.493628301;0.301972657;0.451601598;0.884137467;1.065350089;0.831085198;0.252280141;0.806219316;68806.0269;51930.6595;5981.1851;4572.9825;6321.1998;60030;35657;11001;9281;4091;479.82
22/01/2013;01/01/2013;0.349237984;0.339579048;0.491793251;0.304305906;0.452793159;0.887618685;1.047538817;0.858815908;0.293156267;0.859596311;68806.0269;51930.6595;5981.1851;4572.9825;6321.1998;61381;36529;11453;9245;4154;479.82
23/01/2013;01/01/2013;0.350377349;0.341089547;0.487307575;0.30640776;0.452933343;0.86171061;0.993979823;0.828994943;0.387620852;0.819305954;68806.0269;51930.6595;5981.1851;4572.9825;6321.1998;62530;37437;11712;9259;4122;479.82
24/01/2013;01/01/2013;0.35215434;0.343598764;0.481904374;0.307853989;0.455456648;0.850439736;0.972001859;0.763639652;0.413326456;0.855474535;68806.0269;51930.6595;5981.1851;4572.9825;6321.1998;64342;38816;12174;9260;4092;479.82
25/01/2013;01/01/2013;0.353290221;0.345188763;0.475991436;0.308181801;0.462816289;0.842604123;0.937255573;0.69814501;0.446757789;0.984795246;80403;56441;5002;8260;10700;64316;39016;11870;9375;4055;479.82
26/01/2013;01/01/2013;0.356551522;0.349109104;0.472882047;0.310939278;0.467372258;0.853897976;0.93959822;0.636134126;0.488827891;1.056720231;80403;56441;5002;8260;10700;58926;35942;9946;9052;3986;307.52
27/01/2013;01/01/2013;0.361436506;0.354614475;0.474564176;0.31329181;0.477115021;0.877266944;0.960574748;0.575656095;0.530968226;1.128336083;80403;56441;5002;8260;10700;51700;31089;8430;8338;3843;307.52
28/01/2013;01/01/2013;0.366056683;0.360139721;0.46951779;0.317225554;0.484755029;0.907667284;0.998718766;0.539146316;0.559834356;1.165844241;80403;56441;5002;8260;10700;61566;36588;11350;9476;4152;307.52
29/01/2013;01/01/2013;0.370471286;0.365754405;0.461769803;0.320503673;0.493095956;0.945386224;1.048736965;0.553081346;0.589824228;1.161619421;80403;56441;5002;8260;10700;63003;37192;12048;9633;4130;307.52
30/01/2013;01/01/2013;0.374945122;0.371036182;0.452441635;0.325787231;0.502207892;0.971535571;1.099506242;0.498595378;0.58336271;1.15337587;80403;56441;5002;8260;10700;63530;37428;12236;9701;4165;307.52
31/01/2013;01/01/2013;0.378366701;0.375478242;0.443368335;0.328563991;0.510759094;0.980554568;1.116441256;0.437002545;0.592914519;1.168214262;80403;56441;5002;8260;10700;64621;38162;12571;9703;4185;307.52
01/02/2013;01/02/2013;0.381626906;0.379855708;0.428118553;0.333269056;0.517628093;0.892244061;1.047145644;0.378953847;0.576830136;0.881748864;98777;70493;3892;10609;13783;65322;38679;12834;9629;4180;307.52
02/02/2013;01/02/2013;0.385341349;0.383875424;0.422784683;0.33745348;0.52793159;0.898888846;1.046074178;0.357987879;0.592961032;0.930262074;98777;70493;3892;10609;13783;60094;36003;10895;9161;4035;174.98
03/02/2013;01/02/2013;0.390194147;0.38864542;0.423287878;0.342447791;0.539496741;0.917011944;1.051380487;0.407390447;0.619265771;0.977150439;98777;70493;3892;10609;13783;53427;32369;8769;8451;3838;174.98
04/02/2013;01/02/2013;0.394207974;0.392933449;0.418356564;0.347480669;0.548398402;0.930006659;1.050036903;0.446551019;0.655208888;1.012045906;98777;70493;3892;10609;13783;62258;37639;10919;9562;4138;174.98
05/02/2013;01/02/2013;0.398308831;0.397410289;0.412167262;0.352166451;0.559402818;0.970865243;1.1102431;0.473662185;0.677029105;0.995720089;98777;70493;3892;10609;13783;63174;37734;11474;9819;4147;174.98
06/02/2013;01/02/2013;0.401859659;0.401126912;0.405927641;0.357218612;0.568795122;0.958818279;1.09270847;0.436429517;0.6935616;0.991774038;98777;70493;3892;10609;13783;63425;37875;11633;9788;4129;174.98
